ra,dec,brickname
40.01538461538462,-25.75,0400m257
40.01560062402496,-27.25,0400m272
40.015822784810126,-28.75,0400m287
40.01605136436597,-30.25,0400m302
40.01628664495114,-31.75,0400m317
40.01652892561984,-33.0,0400m330
40.017301038062286,-36.75,0400m367
40.017574692442885,-38.0,0400m380
40.01814882032668,-40.25,0400m402
40.01908396946565,-43.5,0400m435
40.019417475728154,-44.5,0400m445
40.04854368932039,-31.0,0400m310
40.04926108374384,-32.5,0400m325
40.05,-33.75,0400m337
40.0507614213198,-35.0,0400m350
40.05154639175258,-36.25,0400m362
40.05235602094241,-37.5,0400m375
40.054054054054056,-39.75,0400m397
40.055865921787706,-42.0,0400m420
40.05681818181818,-43.0,0400m430
40.078125,-27.5,0400m275
40.079239302694134,-29.0,0400m290
40.08038585209003,-30.5,0400m305
40.08403361344538,-34.5,0400m345
40.08532423208191,-35.75,0400m357
40.089445438282645,-39.25,0400m392
40.09242144177449,-41.5,0400m415
40.09398496240601,-42.5,0400m425
40.108695652173914,-26.75,0401m267
40.110236220472444,-28.25,0401m282
40.11182108626198,-29.75,0401m297
40.113452188006484,-31.25,0401m312
40.12433392539965,-38.75,0401m387
40.12844036697248,-41.0,0401m410
40.138888888888886,-26.0,0401m260
40.14705882352941,-32.0,0401m320
40.149253731343286,-33.25,0401m332
40.15625,-37.0,0401m370
40.15873015873016,-38.25,0401m382
40.16393442622951,-40.5,0401m405
40.168711656441715,-25.25,0401m252
40.17107309486781,-27.0,0401m270
40.172413793103445,-43.75,0401m437
40.17350157728707,-28.5,0401m285
40.175438596491226,-44.75,0401m447
40.176,-30.0,0401m300
40.18121911037891,-32.75,0401m327
40.18394648829432,-34.0,0401m340
40.18675721561969,-35.25,0401m352
40.189655172413794,-36.5,0401m365
40.19264448336252,-37.75,0401m377
40.19891500904159,-40.0,0401m400
40.200927357032455,-26.25,0402m262
40.20376175548589,-27.75,0402m277
40.205607476635514,-42.25,0402m422
40.206677265500794,-29.25,0402m292
40.20912547528517,-43.25,0402m432
40.20967741935484,-30.75,0402m307
40.212765957446805,-44.25,0402m442
40.21594684385382,-33.5,0402m335
40.21922428330523,-34.75,0402m347
40.22260273972603,-36.0,0402m360
40.22608695652174,-37.25,0402m372
40.23041474654378,-25.5,0402m255
40.23339317773788,-39.5,0402m395
40.24118738404453,-41.75,0402m417
40.24390243902439,-31.5,0402m315
40.24528301886792,-42.75,0402m427
40.25125628140704,-34.25,0402m342
40.255102040816325,-35.5,0402m355
40.26315789473684,-26.5,0402m265
40.2668759811617,-28.0,0402m280
40.26737967914438,-39.0,0402m390
40.27070063694268,-29.5,0402m295
40.27624309392265,-41.25,0402m412
40.278688524590166,-32.25,0402m322
40.292307692307695,-25.75,0402m257
40.29641185647426,-27.25,0402m272
40.300632911392405,-28.75,0403m287
40.30088495575221,-38.5,0403m385
40.30497592295345,-30.25,0403m302
40.30944625407166,-31.75,0403m317
40.31078610603291,-40.75,0403m407
40.31404958677686,-33.0,0403m330
40.32692307692308,-44.0,0403m440
40.32871972318339,-36.75,0403m367
40.333919156414765,-38.0,0403m380
40.33980582524272,-31.0,0403m310
40.3448275862069,-32.5,0403m325
40.3448275862069,-40.25,0403m402
40.35,-33.75,0403m337
40.35532994923858,-35.0,0403m350
40.359375,-27.5,0403m275
40.36082474226804,-36.25,0403m362
40.36259541984733,-43.5,0403m435
40.364500792393024,-29.0,0403m290
40.36649214659686,-37.5,0403m375
40.36893203883495,-44.5,0403m445
40.369774919614144,-30.5,0403m305
40.37837837837838,-39.75,0403m397
40.38655462184874,-34.5,0403m345
